data_name,price,links,index_,discount_list,discount_percent,Gift_list,RAM_SSD,Evaluate_list,Evaluate_count_list
Dell Vostro 3530 i5 1335U (80GG93),18.490.000₫,https://www.thegioididong.com/laptop/dell-vostro-3530-i5-80gg93,40,19.990.000₫,-7%,100.000₫,RAM 16 GB SSD 512 GB,,
Asus TUF Gaming F15 FX507ZC4 i5 12500H (HN330W),20.490.000₫,https://www.thegioididong.com/laptop/asus-gaming-tuf-f15-fx507zc4-i5-hn330w,41,24.990.000₫,-18%,1.090.000₫,RAM 16 GB SSD 512 GB,,
Acer Nitro AN515 58 773Y i7 12700H (NH.QFKSV.001.16G),23.490.000₫,https://www.thegioididong.com/laptop/acer-nitro-an515-58-773y-i7-12700h-nhqfksv00116g,42,33.790.000₫,-30%,1.890.000₫,RAM 16 GB SSD 512 GB,5,1 đánh giá
MSI Gaming GF63 Thin 12UC i7 12650H (887VN),17.990.000₫,https://www.thegioididong.com/laptop/msi-gaming-gf63-thin-12uc-i7-887vn,43,20.990.000₫,-14%,1.090.000₫,RAM 8 GB SSD 512 GB,,
Lenovo Gaming LOQ 15ARP9 R7 7435HS (83JC0040VN),27.090.000₫,https://www.thegioididong.com/laptop/lenovo-loq-15arp9-r7-83jc0040vn,44,29.490.000₫,-8%,1.090.000₫,RAM 24 GB SSD 512 GB,,
HP 15 fd0015TU i7 1355U (A19C5PA),19.890.000₫,https://www.thegioididong.com/laptop/hp-15-fd0015tu-i7-a19c5pa,45,21.990.000₫,-9%,1.190.000₫,RAM 16 GB SSD 512 GB,1.5,2 đánh giá
HP 240 G9 i3 1215U (6L1X7PA),10.190.000₫,https://www.thegioididong.com/laptop/hp-240-g9-i3-6l1x7pa,46,12.990.000₫,-21%,1.190.000₫,RAM 8 GB SSD 256 GB,4.3,21 đánh giá
Asus Vivobook 14 X1404VA i5 1335U (NK050W),15.790.000₫,https://www.thegioididong.com/laptop/asus-vivobook-14-x1404va-i5-nk050w,47,18.490.000₫,-14%,1.090.000₫,RAM 16 GB SSD 512 GB,3.8,5 đánh giá
Dell Inspiron 15 3530 i7 1355U (N5I7301W1),21.490.000₫,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i7-n5i7301w1,48,22.390.000₫,,100.000₫,RAM 16 GB SSD 512 GB,,
Acer Aspire 3 A315 510P 32EF i3 N305 (NX.KDHSV.001),8.990.000₫,https://www.thegioididong.com/laptop/acer-aspire-3-a315-510p-32ef-i3-nxkdhsv001,49,9.990.000₫,-10%,1.090.000₫,RAM 8 GB SSD 256 GB,4.5,29 đánh giá
MSI Modern 15 B12MO i7 1255U (487VN),14.990.000₫,https://www.thegioididong.com/laptop/msi-modern-15-b12mo-i7-487vn,50,19.490.000₫,-23%,1.090.000₫,RAM 16 GB SSD 512 GB,4.3,3 đánh giá
Acer Aspire Lite 15 51M 5542 i5 1155G7 (NX.KS5SV.001),11.490.000₫,https://www.thegioididong.com/laptop/acer-aspire-lite-15-51m-5542-i5-nxks5sv001,51,13.990.000₫,-17%,1.090.000₫,RAM 16 GB SSD 512 GB,2.5,4 đánh giá
Asus Vivobook 15 X1504VA i5 1335U (NJ025W),13.990.000₫,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504va-i5-nj025w,52,17.990.000₫,-22%,1.090.000₫,RAM 8 GB SSD 512 GB,3.9,19 đánh giá
Lenovo Ideapad Slim 5 15IRU9 Core 5 120U (83D0000EVN),18.490.000₫,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-5-15iru9-core-5-83d0000evn,53,21.690.000₫,-14%,1.090.000₫,RAM 16 GB SSD 512 GB,,
Asus Vivobook 16 X1605VA i5 1335U (MB360W),15.790.000₫,https://www.thegioididong.com/laptop/asus-vivobook-16-x1605va-i5-mb360w?utm_flashsale=1,54,18.990.000₫,-16%,1.090.000₫,RAM 16 GB SSD 512 GB,4.3,18 đánh giá
HP 240 G10 i5 1335U (9H2E4PT),16.490.000₫,https://www.thegioididong.com/laptop/hp-240-g10-i5-9h2e4pt,55,19.590.000₫,-15%,1.190.000₫,RAM 16 GB SSD 512 GB,1,1 đánh giá
Acer Gaming Aspire 5 A515 58GM 51LB i5 13420H (NX.KQ4SV.002),16.990.000₫,https://www.thegioididong.com/laptop/acer-aspire-5-a515-58gm-51lb-i5-nxkq4sv002,56,20.490.000₫,-17%,1.890.000₫,RAM 16 GB SSD 512 GB,4.1,25 đánh giá
Asus Vivobook 15 X1504ZA i5 1235U (NJ1528W),15.390.000₫,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504za-i5-nj1528w,57,17.490.000₫,-12%,1.090.000₫,RAM 16 GB SSD 1 TB,5,1 đánh giá
