product_names,links,product_price,index_,price_old_dix,price_old_list,discount_dix,discount_list,discount_dix_Student,discount_list_Student,Brand
Laptop MSI Gaming GF63 12VE-460VN,https://cellphones.com.vn/laptop-msi-gaming-gf63-12ve-460vn.html,17.990.000đ,36,36.0,22.490.000đ,36.0,Giảm 20%,36.0,720.000đ,Laptop MSI
Laptop Acer gaming Aspire 7 A715-76G-73FM,https://cellphones.com.vn/laptop-acer-gaming-aspire-7-a715-76g-73fm.html,18.490.000đ,37,37.0,23.990.000đ,37.0,Giảm 23%,37.0,740.000đ,Laptop Acer
Laptop Masstel E140 Celeron,https://cellphones.com.vn/laptop-masstel-e140.html,3.590.000đ,38,38.0,7.990.000đ,38.0,Giảm 55%,38.0,144.000đ,Laptop Masstel
Laptop Gaming Acer Nitro 5 Tiger AN515-58-50D2,https://cellphones.com.vn/laptop-gaming-acer-nitro-5-tiger-an515-58-50d2.html,22.990.000đ,39,39.0,28.990.000đ,39.0,Giảm 21%,39.0,800.000đ,Laptop Gaming
Laptop Lenovo IdeaPad Slim 3 14IAH8 83EQ0005VN,https://cellphones.com.vn/laptop-lenovo-ideapad-slim-3-14iah8-83eq0005vn.html,13.990.000đ,40,40.0,15.490.000đ,40.0,Giảm 10%,40.0,560.000đ,Laptop Lenovo
Laptop Dell Inspiron 15 3520-5124BLK GJ8W7 - Nhập khẩu chính hãng,https://cellphones.com.vn/laptop-dell-inspiron-15-3520-5124blk-gj8w7.html,13.990.000đ,41,41.0,15.490.000đ,41.0,Giảm 10%,41.0,560.000đ,Laptop Dell
Laptop ASUS TUF Gaming F15 FX507ZC4-HN095W,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx507zc4-hn095w.html,20.290.000đ,42,42.0,24.990.000đ,42.0,Giảm 19%,42.0,800.000đ,Laptop ASUS
Laptop ASUS Gaming VivoBook K3605ZU-RP296W,https://cellphones.com.vn/laptop-asus-gaming-vivobook-k3605zu-rp296w.html,23.790.000đ,43,43.0,28.490.000đ,43.0,Giảm 16%,43.0,800.000đ,Laptop ASUS
MacBook Air M3 13 inch 2024 16GB - 256GB sạc 30W | Chính hãng Apple Việt Nam,https://cellphones.com.vn/macbook-air-m3-13-inch-2024-16gb-256gb.html,31.990.000đ,44,44.0,32.990.000đ,44.0,Giảm 3%,44.0,500.000đ,MacBook Air
Laptop ASUS Vivobook 15 X1504ZA-NJ517W,https://cellphones.com.vn/laptop-asus-vivobook-15-x1504za-nj517w.html,14.290.000đ,45,45.0,16.490.000đ,45.0,Giảm 13%,45.0,572.000đ,Laptop ASUS
